Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2004-06-23,3.75,4.325,3.6875,4.3,4.3,43574400,CRM
2004-06-24,4.3875,4.4225,4.125,4.19,4.19,8887200,CRM
2004-06-25,4.1275,4.1875,3.9475,3.95,3.95,6710000,CRM
2004-06-28,4.0,4.0525,3.86,4.0,4.0,2270800,CRM
2004-06-29,4.0,4.175,3.9575,4.1,4.1,2112000,CRM
2004-06-30,4.1,4.235,4.0075,4.0175,4.0175,2087600,CRM
2004-07-01,4.02,4.05,3.975,4.0075,4.0075,1754800,CRM
2004-07-02,4.025,4.245,4.0125,4.245,4.245,993200,CRM
2004-07-06,4.2325,4.25,4.12,4.25,4.25,1216800,CRM
2004-07-07,4.225,4.225,4.0125,4.0775,4.0775,1787600,CRM
2004-07-08,4.0775,4.0775,3.915,3.935,3.935,2179200,CRM
2004-07-09,3.985,4.1425,3.975,4.1,4.1,596800,CRM
2004-07-12,4.15,4.2075,4.0375,4.1875,4.1875,780800,CRM
2004-07-13,4.185,4.185,4.02,4.02,4.02,1674000,CRM
2004-07-14,4.0125,4.0125,3.895,3.9125,3.9125,2366000,CRM
2004-07-15,3.9375,3.95,3.735,3.835,3.835,1806000,CRM
2004-07-16,3.85,4.1,3.74,4.0,4.0,3278800,CRM
2004-07-19,4.0125,4.0425,3.9575,4.0025,4.0025,954800,CRM
2004-07-20,4.0025,4.045,3.8825,4.015,4.015,2245200,CRM
2004-07-21,4.025,4.025,2.7625,2.925,2.925,25415200,CRM
2004-07-22,2.8875,3.295,2.825,3.245,3.245,9824800,CRM
2004-07-23,3.2375,3.375,3.1875,3.26,3.26,1674400,CRM
2004-07-26,3.3875,3.3875,3.22,3.32,3.32,1286000,CRM
2004-07-27,3.345,3.3575,3.275,3.285,3.285,751200,CRM
2004-07-28,3.2625,3.305,3.15,3.2475,3.2475,1534800,CRM
2004-07-29,3.25,3.3375,3.2375,3.24,3.24,908000,CRM
2004-07-30,3.24,3.3,3.1375,3.2525,3.2525,815200,CRM
2004-08-02,3.245,3.27,3.1425,3.2025,3.2025,1297600,CRM
2004-08-03,3.2,3.2725,2.9975,3.0325,3.0325,2944400,CRM
2004-08-04,3.0325,3.0375,2.9875,2.995,2.995,2746800,CRM
2004-08-05,2.9975,2.9975,2.67,2.725,2.725,3030400,CRM
2004-08-06,2.725,2.75,2.6775,2.6925,2.6925,1797200,CRM
2004-08-09,2.7375,2.7625,2.715,2.7475,2.7475,1121600,CRM
2004-08-10,2.75,2.76,2.72,2.75,2.75,733200,CRM
2004-08-11,2.7375,2.7375,2.6475,2.655,2.655,628400,CRM
2004-08-12,2.68,2.6825,2.48,2.4975,2.4975,1578000,CRM
2004-08-13,2.4975,2.5125,2.3675,2.3975,2.3975,2496000,CRM
2004-08-16,2.4,2.4625,2.25,2.43,2.43,2171200,CRM
2004-08-17,2.47,2.7475,2.47,2.7425,2.7425,2968000,CRM
2004-08-18,2.725,3.0375,2.67,2.9875,2.9875,1697600,CRM
2004-08-19,2.9875,3.0625,2.925,3.0425,3.0425,1309600,CRM
2004-08-20,3.125,3.3,2.9725,3.15,3.15,4034800,CRM
2004-08-23,3.175,3.2375,3.09,3.125,3.125,1127600,CRM
2004-08-24,3.15,3.195,3.105,3.1925,3.1925,1072400,CRM
2004-08-25,3.2,3.2625,3.125,3.24,3.24,1200800,CRM
2004-08-26,3.2425,3.25,3.2025,3.225,3.225,471200,CRM
2004-08-27,3.25,3.3025,3.225,3.2875,3.2875,463600,CRM
2004-08-30,3.305,3.315,3.265,3.2925,3.2925,606000,CRM
2004-08-31,3.3,3.3125,3.175,3.25,3.25,874400,CRM
2004-09-01,3.3,3.3325,3.29,3.3325,3.3325,512800,CRM
2004-09-02,3.32,3.4925,3.32,3.4725,3.4725,998800,CRM
2004-09-03,3.475,3.485,3.405,3.4375,3.4375,924000,CRM
2004-09-07,3.44,3.44,3.35,3.3575,3.3575,1192000,CRM
2004-09-08,3.3325,3.3325,3.2875,3.31,3.31,550000,CRM
2004-09-09,3.31,3.325,3.2425,3.2925,3.2925,2529200,CRM
2004-09-10,3.2875,3.575,3.2875,3.5625,3.5625,2795200,CRM
2004-09-13,3.6,3.875,3.6,3.8,3.8,4345200,CRM
2004-09-14,3.8,4.0225,3.75,3.9775,3.9775,2052000,CRM
2004-09-15,3.98,4.285,3.925,4.085,4.085,4147200,CRM
2004-09-16,4.0875,4.1225,4.015,4.065,4.065,2518400,CRM
2004-09-17,4.05,4.0525,3.71,3.9175,3.9175,4487600,CRM
2004-09-20,3.9375,4.025,3.9225,4.0025,4.0025,597200,CRM
2004-09-21,4.0125,4.225,4.0125,4.09,4.09,2327200,CRM
2004-09-22,4.075,4.075,3.9525,4.0175,4.0175,2076800,CRM
2004-09-23,4.0175,4.0175,3.9125,3.9275,3.9275,1117600,CRM
2004-09-24,3.99,4.2125,3.95,4.01,4.01,2796000,CRM
2004-09-27,4.0,4.0175,3.8775,3.8975,3.8975,1380000,CRM
2004-09-28,3.88,3.885,3.6925,3.75,3.75,1862800,CRM
2004-09-29,3.7625,3.9675,3.7625,3.9375,3.9375,1700400,CRM
2004-09-30,3.9375,3.9775,3.905,3.9075,3.9075,4521200,CRM
2004-10-01,3.9075,4.195,3.88,4.1625,4.1625,2613600,CRM
2004-10-04,4.2875,4.46,4.14,4.2175,4.2175,3153200,CRM
2004-10-05,4.22,4.28,4.15,4.225,4.225,1360800,CRM
2004-10-06,4.225,4.3125,4.1225,4.3125,4.3125,1433600,CRM
2004-10-07,4.475,4.705,4.4025,4.625,4.625,5887200,CRM
2004-10-08,4.615,4.615,4.3675,4.405,4.405,2528400,CRM
2004-10-11,4.41,4.5875,4.4,4.545,4.545,1064800,CRM
2004-10-12,4.5,4.5975,4.4175,4.5975,4.5975,897200,CRM
2004-10-13,4.65,4.8075,4.6025,4.625,4.625,1728000,CRM
2004-10-14,4.625,4.6875,4.4625,4.4975,4.4975,1047200,CRM
2004-10-15,4.515,4.56,4.4,4.495,4.495,946800,CRM
2004-10-18,4.475,4.575,4.4125,4.5725,4.5725,692800,CRM
2004-10-19,4.5875,4.61,4.53,4.5575,4.5575,622400,CRM
2004-10-20,4.5325,4.565,4.475,4.5375,4.5375,760800,CRM
2004-10-21,4.5425,4.67,4.51,4.6,4.6,721600,CRM
2004-10-22,4.625,4.645,4.3125,4.35,4.35,1116800,CRM
2004-10-25,4.3875,4.59,4.3875,4.5375,4.5375,1056000,CRM
2004-10-26,4.525,4.6125,4.4475,4.6125,4.6125,476800,CRM
2004-10-27,4.625,4.8975,4.5375,4.8175,4.8175,1922800,CRM
2004-10-28,4.825,5.15,4.75,5.0375,5.0375,2500800,CRM
2004-10-29,5.025,5.08,4.8525,5.08,5.08,1799600,CRM
2004-11-01,5.125,5.5,5.1,5.425,5.425,3213600,CRM
2004-11-02,5.625,5.625,5.4425,5.49,5.49,3029600,CRM
2004-11-03,5.5525,5.675,5.375,5.4175,5.4175,1917600,CRM
