Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-04-26,28.9,31.75,28.65,31.21,31.21,13590200,CDAY
2018-04-27,30.95,31.5,29.68,30.52,30.52,1744900,CDAY
2018-04-30,30.76,32.0,30.21,31.58,31.58,638900,CDAY
2018-05-01,31.42,32.4,31.26,31.48,31.48,858600,CDAY
2018-05-02,31.48,33.65,31.48,32.75,32.75,845500,CDAY
2018-05-03,32.63,34.43,32.53,33.79,33.79,1807900,CDAY
2018-05-04,33.88,34.89,33.8,34.09,34.09,679600,CDAY
2018-05-07,34.09,34.7,33.9,33.99,33.99,325600,CDAY
2018-05-08,34.48,34.77,32.46,32.95,32.95,413900,CDAY
2018-05-09,33.13,34.25,33.045,33.47,33.47,466700,CDAY
2018-05-10,33.59,33.87,32.83,33.13,33.13,731600,CDAY
2018-05-11,33.32,34.63,33.165,34.38,34.38,241900,CDAY
2018-05-14,34.5,37.13,33.36,36.48,36.48,868300,CDAY
2018-05-15,36.61,37.305,36.46,36.95,36.95,565800,CDAY
2018-05-16,37.41,37.41,35.74,37.2,37.2,219200,CDAY
2018-05-17,37.2,38.41,36.66,38.33,38.33,826700,CDAY
2018-05-18,38.44,38.87,36.52,36.82,36.82,615800,CDAY
2018-05-21,36.43,36.62,34.798,35.16,35.16,909300,CDAY
2018-05-22,35.08,35.92,33.2,34.32,34.32,335500,CDAY
2018-05-23,34.14,34.5,33.76,33.97,33.97,405300,CDAY
2018-05-24,34.11,34.31,33.527,33.71,33.71,397100,CDAY
2018-05-25,33.57,33.87,33.22,33.6,33.6,256900,CDAY
2018-05-29,33.4,34.34,33.0,34.24,34.24,218100,CDAY
2018-05-30,34.23,34.75,33.79,34.67,34.67,546100,CDAY
2018-05-31,34.63,34.998,34.28,34.52,34.52,361000,CDAY
2018-06-01,35.01,35.01,34.01,34.53,34.53,414400,CDAY
2018-06-04,34.44,36.26,34.39,35.96,35.96,521200,CDAY
2018-06-05,35.97,36.68,35.95,36.35,36.35,319400,CDAY
2018-06-06,36.56,38.64,36.56,38.16,38.16,307200,CDAY
2018-06-07,38.27,38.85,36.68,37.11,37.11,782500,CDAY
2018-06-08,36.47,37.65,35.95,37.4,37.4,666200,CDAY
2018-06-11,37.83,38.23,36.27,36.49,36.49,408500,CDAY
2018-06-12,36.48,37.82,36.39,37.62,37.62,508300,CDAY
2018-06-13,37.53,37.83,37.226,37.66,37.66,641200,CDAY
2018-06-14,37.46,41.02,35.4,38.19,38.19,1771500,CDAY
2018-06-15,38.15,38.86,37.26,38.45,38.45,1402700,CDAY
2018-06-18,38.36,42.46,38.34,39.78,39.78,1646100,CDAY
