Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-04-27,38.0,40.89,37.0,39.73,39.73,16392400,DOCU
2018-04-30,39.905,40.19,37.53,38.63,38.63,3312100,DOCU
2018-05-01,38.7,39.89,37.85,39.45,39.45,1285600,DOCU
2018-05-02,39.85,40.5,38.75,39.32,39.32,1251300,DOCU
2018-05-03,39.69,42.56,38.81,41.96,41.96,2783600,DOCU
2018-05-04,42.4,42.66,41.01,41.09,41.09,763500,DOCU
2018-05-07,41.65,41.912,41.04,41.31,41.31,630800,DOCU
2018-05-08,41.5,43.68,40.5,43.22,43.22,821200,DOCU
2018-05-09,44.44,44.87,43.245,44.1,44.1,1178100,DOCU
2018-05-10,44.88,46.699,43.66,44.01,44.01,1467900,DOCU
2018-05-11,44.56,45.89,44.01,44.37,44.37,761900,DOCU
2018-05-14,44.99,45.727,43.37,44.19,44.19,1031900,DOCU
2018-05-15,44.39,45.73,43.495,45.46,45.46,423000,DOCU
2018-05-16,45.34,45.65,44.56,45.23,45.23,299000,DOCU
2018-05-17,45.2,46.4,44.55,44.9,44.9,339400,DOCU
2018-05-18,44.75,45.0,44.36,44.78,44.78,350800,DOCU
2018-05-21,45.5,45.5,41.72,42.98,42.98,804400,DOCU
2018-05-22,43.24,44.72,42.851,43.05,43.05,1062500,DOCU
2018-05-23,43.64,45.62,43.1,45.42,45.42,1125400,DOCU
2018-05-24,45.94,47.7,45.296,46.8,46.8,1011700,DOCU
2018-05-25,47.23,48.9,46.107,46.37,46.37,678000,DOCU
2018-05-29,46.67,49.33,45.855,48.43,48.43,931100,DOCU
2018-05-30,48.9,51.0,48.56,49.99,49.99,830900,DOCU
2018-05-31,50.13,51.201,49.53,49.81,49.81,867100,DOCU
2018-06-01,50.28,50.74,49.76,50.12,50.12,564700,DOCU
2018-06-04,51.0,54.15,50.54,53.65,53.65,1121200,DOCU
2018-06-05,54.29,58.28,52.0,54.59,54.59,2463600,DOCU
2018-06-06,55.63,57.38,54.36,57.36,57.36,989500,DOCU
2018-06-07,58.95,59.86,53.5,55.99,55.99,3617100,DOCU
2018-06-08,58.25,60.45,55.31,57.92,57.92,7147600,DOCU
2018-06-11,58.3,60.0,58.2,59.54,59.54,2131400,DOCU
2018-06-12,60.49,63.35,60.0,61.82,61.82,2408600,DOCU
2018-06-13,63.28,64.97,62.0,63.77,63.77,2126700,DOCU
2018-06-14,64.99,65.816,63.1,63.53,63.53,1932200,DOCU
2018-06-15,63.09,64.58,62.3,63.95,63.95,3584200,DOCU
2018-06-18,63.51,66.191,61.645,63.9,63.9,1553300,DOCU
2018-06-19,62.14,64.7,57.6,63.87,63.87,3791400,DOCU
2018-06-20,64.67,66.8,62.03,62.46,62.46,2381500,DOCU
